,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,ASK,Unnamed: 7,Unnamed: 8,DEAL,Unnamed: 10,Unnamed: 11,Royalty Deal?,Barbara,Mark,Lori,Robert Herjavec,Daymond,Kevin,Guest,# Sharks,$ per shark,Details / Notes,Description,url1,url2,url3,url4,url5,company_lower
0,,,,,,,Amount,Equity,Valuation,Amount,Equity,Valuation,,Corcoran,Cuban,Greiner,,John,O'Leary,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,1.0,Ava the Elephant,Yes,Healthcare,Female,,,,"$50,000 ",55%,"$90,909 ",,1,,,,,,,1.0,"$50,000 ",,VISION STATEMENT: The vision of Ava the Elephant® is to design and produce innovative tools that change the way caregivers administer medication and the way children ...,http://www.avatheelephant.com/,http://sharktanksuccess.blogspot.com/2013/02/ava-elephant-thermometer.html,http://www.youtube.com/watch?v=p8F7osrO31A,http://www.youtube.com/watch?v=Xl7ESANtIC0,http://www.amazon.com/Ava-Elephant-Childrens-Discontinued-Manufacturer/dp/B004V86IRQ,avatheelephant
3,1.0,1.0,Mr. Tod's Pie Factory,Yes,Food and Beverage,Male,,,,"$460,000 ",50%,"$920,000 ",,1,,,,1,,,2.0,"$230,000 ",,"Shark Tank; Shark Bios; Get on Shark Tank; About Us; Contact Us; Financing; Contests; Entrepreneur Training; ... Tod Wilson, Mr. Tod’s Pie Factory & Shark Tank ...",http://sharktankblog.com/tod-wilson-mr-tods-pie-factory-shark-tank/,http://sharktankblog.com/mr-tods-pie-factory-tod-wilson/,http://whybake.com/,http://www.productsinsharktank.com/mr-tods-pie-factory/,http://www.youtube.com/watch?v=v-Rsz1YZTak,mr.tod'spiefactory
4,1.0,1.0,Wispots,No,Business Services,Male,,,,,,,,,,,,,,,0.0,,,Kevin Flannery brought WiSpots in to the Shark Tank and left without a deal. Find out more after the Shark Tank appearance.,http://sharktankblog.com/wispots-kevin-flannery-after-shark-tank/,http://www.wispots.com/press-room,http://www.productsinsharktank.com/wispots/,http://www.digitalgist.com/2009/08/life-after-abcs-shark-tank-wispots.html#!,http://www.sharkupdates.com/shark-tank-wispots/,wispots
5,1.0,1.0,College Foxes Packing Boxes,No,Lifestyle / Home,Male,,,,,,,,,,,,,,,0.0,,,"College Foxes Packing Boxes spun off the business model, College Hunks Hauling Junk. The two young entrepreneurs make their way into the Shark Tank",http://sharktankblog.com/college-foxes-packing-boxes-shark-tank-review/,http://www.youtube.com/watch?v=kdpjydoK0iU,http://www.sharkupdates.com/shark-tank-college-foxes-packing-boxes/,http://collegehunksfranchise.com/5-years-shark-tank-college-hunks-hauling-junk-franchise-growing-strong/,http://gazettereview.com/2015/11/college-foxes-packing-boxes-update-see-happened-shark-tank/,collegefoxespackingboxes
6,1.0,1.0,Ionic Ear,No,Uncertain / Other,Male,,,,,,,,,,,,,,,0.0,,,The 'Shark Tank' investors agree that this is the worst pitch they've seen on the show,http://www.businessinsider.com/the-ionic-ear-on-shark-tank-2015-1,http://sharktankblog.com/ionic-ear-darren-johnson/,http://www.sharkupdates.com/shark-tank-ionic-ear/,http://www.productsinsharktank.com/ionic-ear/,http://gazettereview.com/2015/07/ionic-ear-update-see-what-happened-after-shark-tank/,ionicear
7,1.0,2.0,A Perfect Pear,Yes,Food and Beverage,Female,,,,"$500,000 ",50%,"$1,000,000 ",,,,,1.0,,1,,2.0,"$250,000 ",,"Susan Knapp, founder of A Perfect Pear scored a Shark Tank deal with Robert Herjavec and Kevin Harrington. She came in asking for $500,00 for just 15% of the company ...",http://sharktankblog.com/a-perfect-pear-susan-knapp-shark-tank-update/,http://www.aperfectpear.com/shark-tank-shark-bait.html,http://www.planetgiftbaskets.com/Articles.asp?ID=154,http://www.nextavenue.org/shark-tank-winners-over-50-how-hook-investors/,http://www.productsofsharktank.com/product/a-perfect-pear-2/,aperfectpear
8,1.0,2.0,Classroom Jams,Yes,Children / Education,Male,"$250,000 ",10%,"$2,500,000 ","$250,000 ",100%,"$250,000 ",Y,1,1,,1.0,1,1,,5.0,"$50,000 ",5% royalty for the entrepreneur,All about Classroom Jams from Shark Tank on ABC.,http://locallinks.com/sharktank/season-2/classroom-jams/,http://sharktankblog.com/business/classroom-jams/,http://gazettereview.com/2015/07/classroom-jams-update-see-what-happened-after-shark-tank/,http://www.productsofsharktank.com/product/classroom-jams-2/,http://www.productsinsharktank.com/classroom-jams/,classroomjams
9,1.0,2.0,Lifebelt,No,Automotive,Male,,,,,,,,,,,,,,,0.0,,,LIFEBELT is a Seat Belt Management System. LIFEBELT is a patented electronic personal safety and education system that is designed to save lives.,http://nobucklenostart.com/,http://locallinks.com/sharktank/about/lifebelt/,https://www.facebook.com/pages/LIFEBELT/57050607032,http://sharktankblog.com/lifebelt-robert-allison-shark-tank-update/,http://www.youtube.com/watch?v=eBZkxBd25Qs,lifebelt
10,1.0,2.0,Crooked Jaw,No,Fashion / Beauty,Male,,,,,,,,,,,,,,,0.0,,,"Craig French, founder of Crooked Jaw clothing landed an opportunity to pitch the Shark Tank investors. He made an impact as all the Sharks liked him personally, but ...",http://sharktankblog.com/crooked-jaw-shark-tank-follow-up/,http://www.dailyfinance.com/2009/08/18/aftershark-crooked-jaw-fails-at-shark-tank-but-wins-at-business/,http://www.inquisitr.com/33416/crooked-jaw-clothing-gets-shot-down-on-shark-tank/,http://gazettereview.com/2015/08/crooked-jaw-update-see-what-happened-after-shark-tank/,http://www.productsinsharktank.com/crooked-jaw/,crookedjaw
11,1.0,2.0,Sticky Note Holder,No,Lifestyle / Home,Female,,,,,,,,,,,,,,,0.0,,,Are you frustrated by sticky notes falling off your computer? Do they cover your screen?,http://attachnoted.com/,http://www.productsofsharktank.com/product/sticky-note-holder-2/,http://www.youtube.com/watch?v=OY59UscHpaM,http://sharktanktvshow.com/shark-tank-tv-show-season-1-episode-2/,http://www.productsinsharktank.com/sticky-note-holder/,stickynoteholder
12,1.0,3.0,Turbobaster,Yes,Food and Beverage,Female,,,,"$35,000 ",100%,"$35,000 ",Y,,,,,,,,1.0,"$35,000 ",2% royalty,"Marian Cruz, a Californian with a good idea, walked into the Shark Tank with no money, no business experience, no working prototype, and no sense of costs ...",http://www.dailyfinance.com/2009/08/28/aftershark-why-isnt-marian-cruzs-turbo-baster-cooking-yet/,http://sharktanksuccess.blogspot.com/2012/10/shark-tank-season-1-15-episodes-68.html,http://finance.yahoo.com/news/TV-Goods-to-Launch-National-iw-1374548935.html,http://www.joroto.com/blog/2009/08/30/sunday-night-shark-tank-victims-should-be-worried-about-the-next-attack/,http://sharktankblog.com/business/turbobaster/,turbobaster
13,1.0,3.0,Stress Free Kids,Yes,Children / Education,Female,,,,"$250,000 ",50%,"$500,000 ",,1,,,,,,,1.0,"$250,000 ",,"Helping children, teens, and parents decrease stress, anxiety and anger. ... Stress Free Kids founder on ABC’s Shark Tank. Marietta’s Lori Lite, ...",http://stressfreekids.com/category/articles/shark-tank-articles,http://sharktankblog.com/business/stress-free-kids/,http://wn.com/%E2%9C%93_Shark_Tank_Update_%E2%96%BA_Stress_Free_Kids,http://www.youtube.com/watch?v=n1VQ4hI7Mpo,http://www.firstpost.com/topic/person/barbara-corcoran-shark-tank-stress-free-kids-update-video-n1VQ4hI7Mpo-17812-19.html,stressfreekids
14,1.0,3.0,Kwyzta Chopstick Art,No,Children / Education,Male,,,,,,,,,,,,,,,0.0,,,"Chopstick Art. 916.760.4188 | 1430 Willamette St #53, Eugene OR 97401 ...",http://www.chopstickart.com/,http://gazettereview.com/2015/07/kwyzta-chopstick-art-update-what-happened-after-show/,http://www.sharkalytics.com/company/kwytza-chopstick-art,https://www.facebook.com/ChopstickArt,http://www.dailyfinance.com/2009/08/25/aftershark-chopstickart-com-guy-grosses-out-judges-on-shark-tan/,kwyztachopstickart
15,1.0,3.0,50 State Capitals in 50 Minutes,No,Children / Education,Male,,,,,,,,,,,,,,,0.0,,,... 50 State Capitals in 50 Fun Minutes. Owner: ... Click Here to Order 50 State Capitals Deck in 50 Fun Minutes on Amazon. Watch the 50 State Capitals Deck Shark ...,http://locallinks.com/sharktank/about/50-state-capitals-deck/,http://gazettereview.com/2015/08/50-state-capitals-in-50-minutes-find-out-what-happened-after-shark-tank/,http://sharktankblog.com/business/50-state-capitals-deck/,https://sharktankepisodes.com/tag/50-state-capitals-in-50-fun-minutes/,http://www.productsinsharktank.com/50-state-capitals-in-50-fun-minutes/,50statecapitalsin50minutes
16,1.0,3.0,Voyage Air Guitar,No,Media / Entertainment,Male,,,,,,,,,,,,,,,0.0,,,"Voyage-Air Guitar can now be reached via Skype 9am - 5 pm PST, if we're unavailable please leave a message. Click the link above to chat now!",http://www.voyageairguitar.com/shark-tank,http://sharktanksuccess.blogspot.com/2012/11/voyage-air-guitar.html,http://www.youtube.com/user/VoyageAirGuitar,http://sharktankblog.com/business/voyage-air-guitar/,http://www.guitarplayer.com/miscellaneous/1139/voyage-air-guitar-to-return-to-abcs-shark-tank/22681,voyageairguitar
17,1.0,4.0,Gift Card Rescue,Yes,Software / Tech,Male,,,,"$200,000 ",50%,"$400,000 ",,,,,1.0,,1,,2.0,"$100,000 ",,Clean Bottle Shark Tank Update The Cleanest Water Bottle On Earth - Season 3 Need a little Free Publicity? Just chase down a few b...,http://sharktanksuccess.blogspot.com/2013/11/giftcard-rescue-update.html,http://sharktankblog.com/business/gift-card-rescue/,https://www.giftcardrescue.com/media,http://www.youtube.com/watch?v=gpOVcVR2SzM,https://www.giftcardrescue.com/about,giftcardrescue
